population,coverage,alerts,precision,recall,lift,base_rate,threshold
all,0.005,449,0.8195991091314031,0.05064684833470961,10.122263316284712,0.08096994550742725,0.7903225806451613
all,0.01,897,0.717948717948718,0.08863198458574181,8.86685440442666,0.08096994550742725,0.6396761133603239
all,0.02,1795,0.6077994428969359,0.1501513900357831,7.506482054396138,0.08096994550742725,0.4761904761904761
all,0.05,4487,0.3652774682415868,0.22557115331681807,4.511272249875486,0.08096994550742725,0.30710659898477155
all,0.1,8974,0.2686650323155783,0.3318194329755023,3.31808340282178,0.08096994550742725,0.23875181422351233
non-steep (autonomous pilot),0.005,264,0.3787878787878788,0.12919896640826872,25.812387440294415,0.014674654937054452,0.25806451612903225
non-steep (autonomous pilot),0.01,527,0.32637571157495254,0.2222222222222222,22.24077588024457,0.014674654937054452,0.2201079955737916
non-steep (autonomous pilot),0.02,1055,0.2502369668246445,0.34108527131782945,17.052323744443218,0.014674654937054452,0.1648854961832061
non-steep (autonomous pilot),0.05,2637,0.1558589306029579,0.5310077519379846,10.620960511269265,0.014674654937054452,0.06318681318681318
non-steep (autonomous pilot),0.1,5274,0.09745923397800531,0.6640826873385013,6.641330538676889,0.014674654937054452,0.022919179734620022
steep (human review),0.005,185,0.7783783783783784,0.022181146025878003,4.435389918569216,0.17549266077365988,0.7903225806451613
steep (human review),0.01,370,0.8567567567567568,0.04882932840418977,4.882009042314033,0.17549266077365988,0.7903225806451613
steep (human review),0.02,740,0.7337837837837838,0.08364140480591498,4.1812790378178555,0.17549266077365988,0.6697247706422018
steep (human review),0.05,1850,0.5843243243243244,0.16651263093037585,3.3296225708148075,0.17549266077365988,0.47058823529411764
steep (human review),0.1,3699,0.3963233306299,0.22581638940234133,2.258347037891542,0.17549266077365988,0.33264462809917356
