value,n,mean_predicted,observed_rate,ratio_pred_over_obs,ECE,stratum
0,21631,0.0827057209994939,0.1187185058480884,0.6966539917990859,0.038408793383592085,spatial_fold
1,17549,0.08851477369024593,0.13026383269701977,0.6795038335477366,0.04174905900677384,spatial_fold
2,20629,0.06428704718765803,0.07024092297251443,0.9152363674494115,0.012128646306293546,spatial_fold
3,20266,0.11394104794555047,0.04396526201519787,2.5916153509141706,0.07015418248691949,spatial_fold
4,14894,0.07152942107366045,0.057002819927487576,1.2548400441355698,0.015427896274470781,spatial_fold
dry,24609,0.046845955042866635,0.05445162338981673,0.8603224683954516,0.009979130249416985,season
monsoon,70360,0.09792761623578872,0.0952671972711768,1.0279258657839914,0.003490557167536983,season
"(-0.001, 1.481]",23743,0.014861482584281955,0.004927768184306953,3.0158647948598842,0.009933714399975003,slope_quartile
"(1.481, 2.541]",23746,0.01367801018623648,0.006948538701254948,1.9684729083780088,0.008108824056752858,slope_quartile
"(18.752, 54.975]",23741,0.16871354397135613,0.1833536919253612,0.9201535142255837,0.017070508504473617,slope_quartile
"(2.541, 18.752]",23739,0.14153657389506955,0.14356122835839757,0.9858969271405681,0.008485703126973889,slope_quartile
