stratum,value,n,n_pos,base_rate,AP,ROC_AUC,lift_vs_chance
api_quartile,"(-0.001, 31.199]",23743,477,0.02009013182832835,0.10140566874153668,0.8764360623045011,5.047536253522653
api_quartile,"(31.199, 101.52]",23742,1943,0.08183809283126948,0.1720839590255009,0.7738206673109442,2.102736672765539
api_quartile,"(101.52, 165.118]",23743,2743,0.11552878743208525,0.2869590245411464,0.8093869069319306,2.483874633496332
api_quartile,"(165.118, 609.351]",23741,2880,0.12130912766943262,0.4110252511973087,0.8743620472013167,3.3882466974567036
elevation_quartile,"(0.747, 32.808]",23743,111,0.004675062123573263,0.16694287067398583,0.9648905210220377,35.70923043614816
elevation_quartile,"(85.139, 526.563]",23742,3153,0.13280262825372757,0.26407493328940596,0.7482254102565891,1.9884767098500082
elevation_quartile,"(526.563, 5069.209]",23742,4350,0.18321961081627497,0.31167439355380533,0.6856122029228784,1.701097345230907
elevation_quartile,"(32.808, 85.139]",23742,429,0.018069244377053324,0.4345583761562053,0.9572218127745087,24.049615306994465
hazard,landslide,7023,7023,1.0,,,
hazard,landslide+flood,300,300,1.0,,,
hazard,mudslide,540,540,1.0,,,
hazard,n/a (negative),86926,0,0.0,,,
highway,track,23058,1347,0.05841790268019776,0.14534886163715927,0.8012182337069633,2.4880876404080317
highway,tertiary,4304,276,0.06412639405204461,0.17245102774155677,0.8005209007958781,2.689236316665436
highway,unclassified,28772,3033,0.10541498679271515,0.2653846879935212,0.7946003956863024,2.517523324414636
highway,primary,1223,243,0.19869174161896974,0.3939214253775569,0.7542684975224657,1.9825757334845766
highway,residential,35128,2244,0.06388066499658392,0.4092592424108455,0.9267505248829083,6.406621509540188
highway,secondary,913,234,0.25629791894852133,0.4663579172142602,0.7760815930919024,1.819593070156494
highway,trunk,1429,657,0.45976207137858643,0.7761315934205857,0.8524538450012223,1.688115748855429
label_source,case_control_negative,48617,0,0.0,,,
label_source,coolr_glc,7263,7263,1.0,,,
label_source,corridor_landslides,660,660,1.0,,,
label_source,hard_negative_matched,38309,0,0.0,,,
label_tier,bronze,4560,4560,1.0,,,
label_tier,negative,86926,0,0.0,,,
label_tier,silver,3483,3483,1.0,,,
lithology_class,suad,5666,60,0.010589481115425344,0.03720590522693791,0.8679658699012962,3.5134776502638365
lithology_class,ssmxcl,459,66,0.1437908496732026,0.13157589058870517,0.4680198935924127,0.9150505118214497
lithology_class,sumx,26240,396,0.015091463414634146,0.14985419782357634,0.9364205336916605,9.929732704269302
lithology_class,smmxmt,7641,789,0.10325873576756969,0.16906575750283953,0.5422404493484182,1.6373022219001228
lithology_class,smmx,637,168,0.26373626373626374,0.31252939855447415,0.640896283886689,1.185007302852381
lithology_class,mt,20286,2901,0.1430050280981958,0.3149341252899565,0.791314361366371,2.2022591056987446
lithology_class,ssmx,5269,186,0.03530081609413551,0.40585251240747455,0.9008274471726332,11.4969725154569
lithology_class,pa,651,282,0.43317972350230416,0.42824682660691926,0.5068423379269253,0.9886123550393774
lithology_class,mtpu,13082,3165,0.24193548387096775,0.4432912245154606,0.7131867804515233,1.8322703946639038
lithology_class,sssh,1713,0,0.0,,,
lithology_class,suss,10403,0,0.0,,,
lithology_class,wb,1570,0,0.0,,,
persist_day,-1,86926,0,0.0,,,
persist_day,0,2681,2681,1.0,,,
persist_day,1,2681,2681,1.0,,,
persist_day,2,2681,2681,1.0,,,
rain_3d_quartile,"(15.685, 46.114]",23744,2153,0.09067553908355795,0.2140782277485892,0.8047503407681156,2.360925889299815
rain_3d_quartile,"(-0.001, 15.685]",47493,2534,0.0533552312972438,0.24122956857612804,0.8674556602505136,4.52119806645069
rain_3d_quartile,"(46.114, 339.317]",23732,3356,0.14141243890106187,0.39538296101640846,0.8458983037839746,2.795956028260252
season,monsoon (Jun-Sep),70360,6703,0.0952671972711768,0.2803122904363804,0.8362120397366564,2.9423799425785058
season,dry,24609,1340,0.05445162338981673,0.37349512338686575,0.9026300926926671,6.8592100682293875
slope_quartile,"(-0.001, 1.481]",23743,117,0.004927768184306953,0.023273233743079755,0.8893698525671776,4.722875117623442
slope_quartile,"(1.481, 2.541]",23746,165,0.006948538701254948,0.19775356223616583,0.9550321072563556,28.45973387187875
slope_quartile,"(18.752, 54.975]",23741,4353,0.1833536919253612,0.2980663741911401,0.680205708652134,1.6256360647075254
slope_quartile,"(2.541, 18.752]",23739,3408,0.14356122835839757,0.30474512692794453,0.7481523436769354,2.1227536878352335
soil_missing,soil present,92783,7914,0.08529579772156537,0.29510312688874546,0.8554960000745384,3.459761615127429
soil_missing,soil NODATA,2186,129,0.05901189387008234,0.32326310339431125,0.8420613296250655,5.477931348991972
spatial_fold,3,20266,891,0.04396526201519787,0.17875354301226984,0.7942175011766409,4.065790463172458
spatial_fold,2,20629,1449,0.07024092297251443,0.22770087458923854,0.8668726445407318,3.24171245127771
spatial_fold,4,14894,849,0.057002819927487576,0.2403892376038064,0.8756629477604586,4.217146413275728
spatial_fold,0,21631,2568,0.1187185058480884,0.4319557062279811,0.8883738997581883,3.6384867139476085
spatial_fold,1,17549,2286,0.13026383269701977,0.5192389889155987,0.878415307829036,3.986056437655224
