arm,group,note,mean_AP,std_AP,mean_delta,p_value,folds_improved,verdict,mean_train_rows,mean_fit_sec,mean_best_iter,deltas
aug/gaussian_all_s0.4,augment,"independent noise on every numeric column, terrain included",0.38350738207934437,0.16305318501325494,0.032956899639745865,0.375,3,not demonstrated,56672.4,3.452561950683594,1099.4,"[0.07496812069326475, -0.012161408259472761, 0.10012206720956215, -0.0010529286671561167, 0.0029086472225312854]"
loss/focal_g1.5,loss,binary focal loss gamma=1.5 (targets Stage 5 §3 hard positives),0.38121545683013247,0.1389118332840114,0.030664974390534,0.125,4,not demonstrated,56672.4,4.994771814346313,748.4,"[0.013673799587519797, -0.00470602037259471, 0.035127412162018784, 0.05173948022752062, 0.05749020034820551]"
loss/focal_g2.0,loss,binary focal loss gamma=2.0 (targets Stage 5 §3 hard positives),0.38121178506791764,0.1364419094884295,0.030661302628319197,0.125,4,not demonstrated,56672.4,4.067058801651001,708.6,"[0.013372895555416542, -0.011354457048471933, 0.050772924336166064, 0.041366629693526585, 0.05914852060495873]"
aug/gaussian_all_s0.2,augment,"independent noise on every numeric column, terrain included",0.37931645518512214,0.16457828676828376,0.028765972745523664,0.125,4,not demonstrated,56672.4,3.1288710117340086,949.0,"[0.04988421573553159, 0.011637785430403613, 0.08084029068357315, -0.0009158472173876608, 0.0023834190954976353]"
aug/gaussian_all_s0.1,augment,"independent noise on every numeric column, terrain included",0.3787162521699937,0.1568671227946155,0.02816576973039523,0.0625,5,improvement,56672.4,3.2090004444122315,1017.0,"[0.02395170654170109, 0.020715701258880226, 0.05910825773235481, 0.021054669820443933, 0.015998513298596084]"
aug/gaussian_terrain_only_s0.1,augment,noise on STATIC terrain/soil columns only — tests the anti-fingerprint mechanism,0.375746364571183,0.13647643777872856,0.02519588213158455,0.5,2,not demonstrated,56672.4,2.815647315979004,905.0,"[-0.0034985107547104155, -0.006787713987860933, 0.04523264377754185, 0.09345395872648948, -0.0024209671035372304]"
aug/smote_k5_f0.5,augment,"within-spatial-block positive interpolation, +50% positives",0.3678281000698243,0.158391262240673,0.01727761763022584,0.0625,5,improvement,59034.4,3.1271557807922363,970.8,"[0.015140847184975437, 0.013735919024616239, 0.008555276419374869, 0.021839768390499337, 0.027116277131663313]"
aug/gaussian_all_s0.05,augment,"independent noise on every numeric column, terrain included",0.3630519592400271,0.15318763745821168,0.012501476800428618,0.1875,4,not demonstrated,56672.4,2.764496326446533,849.6,"[-0.01998589767960185, 0.020758803026800665, 0.024888641668540018, 0.026493426682626775, 0.010352410303777482]"
data/easy_neg_drop_0.3,data,drop 30% easiest negatives (inner-CV mined),0.35972808004762435,0.15604485140564775,0.009177597608025907,0.125,4,not demonstrated,39671.2,2.9314956665039062,1003.4,"[0.01437626701305561, -0.004676879585772342, 0.007435534262838106, 0.020491097287243687, 0.008261969062764468]"
data/conf_floor_0.25,data,drop positives with label_confidence < 0.25 (Stage 5 §4),0.3562530494855786,0.15148307626740495,0.0057025670459802166,0.875,2,not demonstrated,56577.2,3.3532872676849363,993.2,"[-0.0038529156974140832, -0.005636179535850938, 0.004074975160883093, 0.03841522700866162, -0.00448827170637861]"
data/weight_uniform,data,reshape Stage 2 confidence weights: uniform,0.35558452302140287,0.16002465733344975,0.005034040581804422,0.75,2,not demonstrated,56672.4,3.115272045135498,995.8,"[0.012583047772939504, -0.006951433361830683, -0.00022561985791438866, -0.01397439392359398, 0.03373860227942166]"
data/weight_sqrt,data,reshape Stage 2 confidence weights: sqrt,0.354717952995645,0.1593112164996762,0.00416747055604656,0.3125,4,not demonstrated,56672.4,2.90806565284729,914.6,"[0.0025883278978217072, 0.0009728673646255404, 0.005984372391970388, -0.00395155729531646, 0.015243342421131623]"
data/hard_neg_a3.0,data,"upweight hardest negatives, alpha=3.0 (inner-CV mined)",0.3546620074364756,0.1603975502847983,0.004111524996877192,0.4375,3,not demonstrated,56672.4,2.928617811203003,938.0,"[-0.0029936189733968943, 0.00985753891735719, -0.0025550536527227385, 0.014472014606111, 0.0017767440870374018]"
aug/gaussian_rain_only_s0.1,augment,independent (physics-INconsistent) noise on rainfall columns only,0.3536229961758012,0.15631782387715595,0.003072513736202753,0.375,4,not demonstrated,56672.4,2.994159460067749,993.2,"[0.006659326907206831, -0.009817055912981099, 0.008027295131654982, 0.004293303058575282, 0.00619969949655777]"
aug/rain_jitter_s0.1,augment,"multiplicative lognormal rainfall jitter sigma=0.1, ID ratios+flags kept consistent",0.35345715591766297,0.15260385390776784,0.0029066734780644975,0.6875,4,not demonstrated,56672.4,3.0354633808135985,996.0,"[0.009416118784785321, -0.019869719714083578, 0.008030831575499553, 0.016736972766576763, 0.00021916397754442873]"
data/hard_neg_a1.0,data,"upweight hardest negatives, alpha=1.0 (inner-CV mined)",0.3518864157131243,0.16276726066714434,0.0013359332735257967,0.8125,4,not demonstrated,56672.4,2.9765710830688477,959.4,"[0.0013120100672353585, 0.006926682061288325, 0.004335306453598947, 0.011100324209083745, -0.016994656423577392]"
loss/focal_g3.0,loss,binary focal loss gamma=3.0 (targets Stage 5 §3 hard positives),0.3505759578581386,0.10989844981324563,2.5475418540160665e-05,1.0,4,not demonstrated,56672.4,3.627584218978882,506.4,"[0.009689669279114188, -0.13889280373986934, 0.04976957725410561, 0.03307252368026237, 0.04648841061908798]"
loss/focal_g1.0,loss,binary focal loss gamma=1.0 (targets Stage 5 §3 hard positives),0.35029235371016554,0.10984851920472442,-0.0002581287294328771,1.0,4,not demonstrated,56672.4,4.060834836959839,729.8,"[0.013395814415115503, -0.14104207033706784, 0.03327227463387786, 0.05152976724195535, 0.04155357039895474]"
data/weight_square,data,reshape Stage 2 confidence weights: square,0.3502077765264683,0.1449906917969083,-0.0003427059131301924,1.0,2,not demonstrated,56672.4,3.1720167636871337,997.8,"[-0.02878363440586562, -0.011593140582635164, 0.006209222010930049, 0.035916161800758406, -0.0034621383888386315]"
data/dedup,data,"drop exact duplicate feature vectors (Stage 5 §8: 430 rows, 0 conflicts)",0.34868489127530267,0.15546917486473075,-0.00186559116429581,0.5625,1,not demonstrated,56564.6,3.236320686340332,994.0,"[-0.0006547359128948882, -0.013931835991903063, -0.0004433509414752679, 0.007265128402718535, -0.0015631613779243658]"
data/conf_floor_0.35,data,drop positives with label_confidence < 0.35 (Stage 5 §4),0.34856532171084204,0.1426747759927099,-0.0019851607287564186,0.9375,2,not demonstrated,56387.8,3.186296796798706,979.8,"[-0.03155160063910151, -0.01741453695655726, 0.006673954906275398, 0.03871325016529778, -0.006346871119696507]"
data/hard_pos_a1.0,data,"upweight hardest positives, alpha=1.0 (inner-CV mined)",0.3418504744478744,0.14731501461135796,-0.008700007991724051,0.375,2,not demonstrated,56672.4,2.964848756790161,970.0,"[-0.039721379533147416, -0.013783085664341943, 0.000306655137388534, 0.01185215066778078, -0.0021543805663002125]"
aug/rain_jitter_append_s0.25,augment,original rows + a jittered copy (2x training rows),0.3390249905558386,0.15163503154847985,-0.011525491883759809,0.1875,1,not demonstrated,113344.8,3.5373415470123293,969.6,"[-0.0009438130141830037, -0.04142429786858004, 0.0033540840414860995, -0.008409196276785241, -0.010204236300736858]"
aug/rain_jitter_s0.25,augment,"multiplicative lognormal rainfall jitter sigma=0.25, ID ratios+flags kept consistent",0.338110683628709,0.14382723990365295,-0.012439798810889403,0.375,2,not demonstrated,56672.4,3.0805562496185304,1029.4,"[-0.012430107635233056, -0.04998767152374506, 0.007436114333524091, 0.008351637184078553, -0.015568966413071539]"
aug/rain_jitter_s0.5,augment,"multiplicative lognormal rainfall jitter sigma=0.5, ID ratios+flags kept consistent",0.3326863527127756,0.13927544382183432,-0.01786412972682293,0.25,2,not demonstrated,56672.4,3.4568485736846926,1094.4,"[-0.03302143633107074, -0.053871174738453154, 0.01829982339143968, 0.01123571311202623, -0.031963574068056666]"
