item,measured_delta_AP,p_value,verdict,effort,compute,fit_sec_per_fold
aug/gaussian_all_s0.4,0.03296,0.375,not demonstrated,low,trivial,3.45
loss/focal_g1.5,0.03066,0.125,not demonstrated,medium,1.3x train,4.99
loss/focal_g2.0,0.03066,0.125,not demonstrated,medium,1.3x train,4.07
aug/gaussian_all_s0.2,0.02877,0.125,not demonstrated,low,trivial,3.13
aug/gaussian_all_s0.1,0.02817,0.0625,improvement,low,trivial,3.21
aug/gaussian_terrain_only_s0.1,0.0252,0.5,not demonstrated,medium,unknown,2.82
aug/smote_k5_f0.5,0.01728,0.0625,improvement,medium,1.2x train,3.13
aug/gaussian_all_s0.05,0.0125,0.1875,not demonstrated,low,trivial,2.76
data/easy_neg_drop_0.3,0.00918,0.125,not demonstrated,medium,3x train,2.93
data/conf_floor_0.25,0.0057,0.875,not demonstrated,low,trivial,3.35
data/weight_uniform,0.00503,0.75,not demonstrated,low,trivial,3.12
data/weight_sqrt,0.00417,0.3125,not demonstrated,low,trivial,2.91
data/hard_neg_a3.0,0.00411,0.4375,not demonstrated,medium,3x train,2.93
aug/gaussian_rain_only_s0.1,0.00307,0.375,not demonstrated,medium,unknown,2.99
aug/rain_jitter_s0.1,0.00291,0.6875,not demonstrated,low,trivial,3.04
data/hard_neg_a1.0,0.00134,0.8125,not demonstrated,medium,3x train,2.98
loss/focal_g3.0,3e-05,1.0,not demonstrated,medium,1.3x train,3.63
loss/focal_g1.0,-0.00026,1.0,not demonstrated,medium,1.3x train,4.06
data/weight_square,-0.00034,1.0,not demonstrated,low,trivial,3.17
data/dedup,-0.00187,0.5625,not demonstrated,low,trivial,3.24
data/conf_floor_0.35,-0.00199,0.9375,not demonstrated,low,trivial,3.19
data/hard_pos_a1.0,-0.0087,0.375,not demonstrated,medium,3x train,2.96
aug/rain_jitter_append_s0.25,-0.01153,0.1875,not demonstrated,low,2x train,3.54
aug/rain_jitter_s0.25,-0.01244,0.375,not demonstrated,low,trivial,3.08
aug/rain_jitter_s0.5,-0.01786,0.25,not demonstrated,low,trivial,3.46
ensemble (lgbm+logistic+rule),0.02269,0.125,not demonstrated,medium,+1 logistic fit per fold,
per-stratum calibration (Stage 5 P2),0.0,,"worst terrain-stratum miscalibration 2.71x -> 1.32x (ranking-neutral, routing-critical)",low,negligible,
