case,n,n_pos,base_rate,AP,AP_over_base,mean_score,recall,precision,note
all test rows,8277,1344,0.16237767306995288,0.3742559618461208,2.304848657887159,0.12126171150953799,0.8244047619047619,0.2939771822764659,
zero rain (1d = 0),4142,660,0.15934331240946403,0.3968939812227705,2.4908104094313868,0.10098622496808578,0.7560606060606061,0.3178343949044586,cannot be rainfall-triggered on the day
bone dry (7d = 0),1337,120,0.08975317875841436,0.18431236159200817,2.053546895404291,0.02195803125527883,0.125,0.12605042016806722,no rain all week
"extreme rain (1d, top 1%)",83,33,0.39759036144578314,0.481034550604649,1.2098747787935111,0.2541138385284035,0.9090909090909091,0.4225352112676056,
"extreme rain (7d, top 1%)",84,6,0.07142857142857142,0.10122245262892324,1.4171143368049255,0.20998761848210537,1.0,0.1016949152542373,
soil NODATA,1489,96,0.06447280053727333,0.41892247906774044,6.4976622013736,0.04669390596001653,0.46875,0.1814516129032258,
bridges,559,186,0.33273703041144903,0.5290187811874515,1.5899005305579859,0.12818416304629054,0.8064516129032258,0.49019607843137253,
very steep (slope >= 30),718,384,0.5348189415041783,0.6078979631966097,1.1366425457686609,0.1978139835034162,0.7942708333333334,0.5658627087198516,
flat (slope < 2.5),3057,39,0.012757605495583905,0.11179294271654915,8.762846817551045,0.01960425440029874,0.5128205128205128,0.0823045267489712,
dry season,2105,289,0.13729216152019003,0.7149363978062134,5.207408710664634,0.09525405991047056,0.8442906574394463,0.48316831683168315,
monsoon,6172,1055,0.17093324692158132,0.2745636472843311,1.6062623990889968,0.13013178711161785,0.818957345971564,0.2647058823529412,
