State,District
Arunachal Pradesh,Anjaw
Arunachal Pradesh,Bichom
Arunachal Pradesh,Changlang
Arunachal Pradesh,Dibang Valley
Arunachal Pradesh,East Kameng
Arunachal Pradesh,East Siang
Arunachal Pradesh,Kamle
Arunachal Pradesh,Keyi Panyor
Arunachal Pradesh,Kra Daadi
Arunachal Pradesh,Kurung Kumey
Arunachal Pradesh,Lepa Rada
Arunachal Pradesh,Lohit
Arunachal Pradesh,Longding
Arunachal Pradesh,Lower Dibang Valley
Arunachal Pradesh,Lower Siang
Arunachal Pradesh,Lower Subansiri
Arunachal Pradesh,Namsai
Arunachal Pradesh,Pakke-Kessang
Arunachal Pradesh,Papum Pare
Arunachal Pradesh,Shi Yomi
Arunachal Pradesh,Siang
Arunachal Pradesh,Tawang
Arunachal Pradesh,Tirap
Arunachal Pradesh,Upper Siang
Arunachal Pradesh,Upper Subansiri
Arunachal Pradesh,West Kameng
Arunachal Pradesh,West Siang
Arunachal Pradesh,Itanagar Capital Complex
Assam,Baksa
Assam,Bajali
Assam,Barpeta
Assam,Biswanath
Assam,Bongaigaon
Assam,Cachar
Assam,Charaideo
Assam,Chirang
Assam,Darrang
Assam,Dhemaji
Assam,Dhubri
Assam,Dibrugarh
Assam,Dima Hasao
Assam,Goalpara
Assam,Golaghat
Assam,Hailakandi
Assam,Hojai
Assam,Jorhat
Assam,Kamrup
Assam,Kamrup Metropolitan
Assam,Karbi Anglong
Assam,Kokrajhar
Assam,Lakhimpur
Assam,Majuli
Assam,Morigaon
Assam,Nagaon
Assam,Nalbari
Assam,Sivasagar
Assam,Sonitpur
Assam,South Salmara-Mankachar
Assam,Sribhumi
Assam,Tamulpur
Assam,Tinsukia
Assam,Udalguri
Assam,West Karbi Anglong
Manipur,Bishnupur
Manipur,Chandel
Manipur,Churachandpur
Manipur,Imphal East
Manipur,Imphal West
Manipur,Jiribam
Manipur,Kakching
Manipur,Kamjong
Manipur,Kangpokpi
Manipur,Noney
Manipur,Pherzawl
Manipur,Senapati
Manipur,Tamenglong
Manipur,Tengnoupal
Manipur,Thoubal
Manipur,Ukhrul
Meghalaya,East Garo Hills
Meghalaya,East Jaintia Hills
Meghalaya,East Khasi Hills
Meghalaya,Eastern West Khasi Hills
Meghalaya,North Garo Hills
Meghalaya,Ri Bhoi
Meghalaya,South Garo Hills
Meghalaya,South West Garo Hills
Meghalaya,South West Khasi Hills
Meghalaya,West Garo Hills
Meghalaya,West Jaintia Hills
Meghalaya,West Khasi Hills
Mizoram,Aizawl
Mizoram,Champhai
Mizoram,Hnahthial
Mizoram,Khawzawl
Mizoram,Kolasib
Mizoram,Lawngtlai
Mizoram,Lunglei
Mizoram,Mamit
Mizoram,Saitual
Mizoram,Serchhip
Mizoram,Siaha
Nagaland,Chumoukedima
Nagaland,Dimapur
Nagaland,Kiphire
Nagaland,Kohima
Nagaland,Longleng
Nagaland,Meluri
Nagaland,Mokokchung
Nagaland,Mon
Nagaland,Niuland
Nagaland,Noklak
Nagaland,Peren
Nagaland,Phek
Nagaland,Shamator
Nagaland,Tseminyu
Nagaland,Tuensang
Nagaland,Wokha
Nagaland,Zunheboto
Tripura,Dhalai
Tripura,Gomati
Tripura,Khowai
Tripura,North Tripura
Tripura,Sepahijala
Tripura,South Tripura
Tripura,Unakoti
Tripura,West Tripura
