threads,batch_rows,corridor_sec,rows_per_sec
1,1000,7.404777916999592,41735
1,10000,7.062483875000908,43758
1,100000,7.172625041996071,43086
1,309042,7.0647101670037955,43744
2,1000,4.201985874999082,73546
2,10000,3.59395891699387,85989
2,100000,3.753486415997031,82334
2,309042,3.639666083996417,84909
4,1000,2.3527052080025896,131356
4,10000,1.91362074999779,161495
4,100000,1.8250908330010134,169329
4,309042,1.8678130830012378,165456
8,1000,1.793073374996311,172353
8,10000,1.3337323329978972,231712
8,100000,1.1959475000039674,258407
8,309042,1.149671125000168,268809
