feature,gain,split
slope_mean_deg,595546.6384867365,345
upslope_basin_area_km2,254385.6774454713,2735
rain_30d_mm,114792.4919937551,638
lithology_class,107766.5151553154,586
slope_max_deg,92492.73518176004,277
cell_dist_m,90324.5768378675,1598
doy_sin,86312.38631031662,1247
nearest_river_discharge_cms,85607.53433695436,1582
doy_cos,65410.33378301561,1031
rain_15d_mm,60650.184674054384,319
distance_to_nearest_river_m,54099.050511941314,693
landcover_class,53370.7584195137,175
api_mm,43749.38224041462,186
rain_max_1d_in_3d_mm,41580.407930612564,234
highway,34386.99997663498,316
elevation_mean,31974.577363073826,331
rain_7d_mm,30362.019847035408,287
soil_cfvo_0_5cm_cm3_dm3,29520.043586865067,335
soil_soc_0_5cm_dg_kg,21244.43892352283,442
soil_phh2o_0_5cm_ph10,19057.069083720446,246
soil_bdod_0_5cm_cg_cm3,18805.891146093607,261
soil_silt_0_5cm_pct,17674.133049547672,348
month,17248.424944996834,171
aspect_mean_deg,13289.902265429497,276
is_monsoon,11742.44766998291,115
days_since_rain,10467.167758464813,166
soil_sand_0_5cm_pct,10409.714057862759,316
soil_clay_0_5cm_pct,10030.63175034523,261
nearest_river_order,7047.822162270546,113
aspect_sin,6032.378038465977,210
rain_3d_mm,5744.6590831279755,91
aspect_cos,3633.8917158320546,189
surface,2960.533560037613,78
id_ratio_7d,2639.6387041807175,37
id_exceed_7d,2283.7437028884888,59
length_m,1870.1964408755302,133
rain_1d_mm,1795.9429080709815,65
id_ratio_3d,1332.8518285751343,17
id_ratio_1d,484.6963622570038,15
id_exceed_1d,460.38664150238037,28
maxspeed,386.6368727684021,11
id_exceed_3d,319.719838142395,18
bridge,12.467769622802734,2
tunnel,0.0,0
soil_is_missing,0.0,0
