feature,tp_median,fn_median,cohens_d_tp_minus_fn,tp_n,fn_n
slope_mean_deg,19.73514938354492,17.354751586914062,0.5670769453779065,7687,356
api_mm,134.26310084224562,86.90849254119365,0.5373345596904785,7687,356
rain_15d_mm,171.17981289999807,132.8596492000015,0.523897082046136,7687,356
label_confidence,0.5257,0.45585,0.51367846310169,7687,356
slope_max_deg,32.32577896118164,30.472412109375,0.506021899886015,7687,356
rain_30d_mm,358.0434727999964,218.17680645000019,0.4898668168321593,7687,356
id_ratio_3d,0.5212304803176496,0.2582123167497931,0.4863179618199881,7687,356
rain_3d_mm,37.227577000001475,18.44216573499989,0.48631796181998777,7687,356
rain_7d_mm,86.65176699999938,51.14258700000073,0.478488684505013,7687,356
rain_1d_mm,5.489153000002261,0.42779376999988017,0.4319075786876451,7687,356
id_ratio_1d,0.14629036145179392,0.011401049531700479,0.431907578687645,7687,356
days_since_rain,0.0,1.0,-0.4143360860035203,7687,356
elevation_mean,597.5813598632812,378.1649169921875,0.4006772546039151,7687,356
upslope_basin_area_km2,269.6,329.8,0.3444389536300254,7687,356
snap_dist_m,899.6,648.75,0.1418857805468476,7687,356
cell_dist_m,9786.743711994886,9559.73228841402,-0.05714384052512059,7687,356
distance_to_nearest_river_m,806.0,780.8,-0.02332772220965161,7687,356
