segment_id,n_fp,n_scored,fp_rate
SEG291200,8,8,1.0
SEG301175,7,7,1.0
SEG205015,7,9,0.7777777777777778
SEG282980,7,7,1.0
SEG225600,7,7,1.0
SEG239451,7,7,1.0
SEG292648,7,7,1.0
SEG304117,7,8,0.875
SEG282851,7,7,1.0
SEG238599,7,7,1.0
SEG253318,7,7,1.0
SEG293420,7,8,0.875
SEG281934,7,7,1.0
SEG238507,7,7,1.0
SEG227028,7,8,0.875
SEG248570,6,6,1.0
SEG238762,6,6,1.0
SEG248543,6,6,1.0
SEG304474,6,6,1.0
SEG280814,6,6,1.0
SEG225346,6,6,1.0
SEG252741,6,6,1.0
SEG284188,6,6,1.0
SEG238757,6,6,1.0
SEG252965,6,6,1.0
SEG227391,6,6,1.0
SEG280182,6,6,1.0
SEG248597,6,6,1.0
SEG250839,6,6,1.0
SEG292936,6,6,1.0
SEG306481,6,6,1.0
SEG304633,6,7,0.8571428571428571
SEG229788,6,6,1.0
SEG304650,6,7,0.8571428571428571
SEG308756,6,7,0.8571428571428571
SEG281963,6,6,1.0
SEG248351,6,6,1.0
SEG281943,6,6,1.0
SEG288431,6,6,1.0
SEG290179,6,6,1.0
SEG281118,6,6,1.0
SEG284154,6,6,1.0
SEG252220,6,6,1.0
SEG228992,6,6,1.0
SEG292701,6,6,1.0
SEG252179,6,6,1.0
SEG291207,6,7,0.8571428571428571
SEG305387,6,6,1.0
SEG227565,6,6,1.0
SEG252050,6,6,1.0
SEG289179,6,6,1.0
SEG252025,6,6,1.0
SEG306312,6,6,1.0
SEG290244,6,6,1.0
SEG293689,6,6,1.0
SEG305524,6,7,0.8571428571428571
SEG307571,6,6,1.0
SEG307995,6,6,1.0
SEG227609,6,6,1.0
SEG282417,6,6,1.0
SEG254182,6,7,0.8571428571428571
SEG207398,6,6,1.0
SEG249427,6,6,1.0
SEG251722,6,6,1.0
SEG224907,6,6,1.0
SEG300450,6,6,1.0
SEG284149,6,6,1.0
SEG292414,6,6,1.0
SEG290170,6,6,1.0
SEG283756,6,6,1.0
SEG307101,6,6,1.0
SEG280671,6,7,0.8571428571428571
SEG283597,6,6,1.0
SEG306781,6,6,1.0
SEG227168,6,6,1.0
SEG292368,6,6,1.0
SEG305713,6,6,1.0
SEG281744,6,6,1.0
SEG281456,6,6,1.0
SEG281390,6,6,1.0
SEG228292,6,6,1.0
SEG299951,6,6,1.0
SEG285189,6,7,0.8571428571428571
SEG247975,6,6,1.0
SEG281559,6,6,1.0
SEG292297,6,6,1.0
SEG227877,6,7,0.8571428571428571
SEG250143,6,7,0.8571428571428571
SEG283419,6,6,1.0
SEG281420,6,6,1.0
SEG227189,6,6,1.0
SEG285319,6,7,0.8571428571428571
SEG289673,6,6,1.0
SEG282363,5,5,1.0
SEG289725,5,5,1.0
SEG229231,5,5,1.0
SEG305025,5,5,1.0
SEG305290,5,5,1.0
SEG306833,5,5,1.0
SEG281088,5,5,1.0
SEG227239,5,5,1.0
SEG281053,5,5,1.0
SEG238436,5,5,1.0
SEG304917,5,5,1.0
SEG201910,5,7,0.7142857142857143
SEG284324,5,5,1.0
SEG282359,5,5,1.0
SEG289633,5,5,1.0
SEG227054,5,5,1.0
SEG285298,5,5,1.0
SEG289207,5,5,1.0
SEG288441,5,5,1.0
SEG253415,5,5,1.0
SEG254141,5,5,1.0
SEG282373,5,5,1.0
SEG227042,5,5,1.0
SEG292791,5,5,1.0
SEG227464,5,5,1.0
SEG307338,5,5,1.0
SEG238408,5,5,1.0
SEG227247,5,5,1.0
SEG299966,5,5,1.0
SEG290213,5,5,1.0
SEG248277,5,5,1.0
SEG304177,5,5,1.0
SEG225222,5,5,1.0
SEG289645,5,5,1.0
SEG246283,5,5,1.0
SEG229052,5,5,1.0
SEG281424,5,5,1.0
SEG292730,5,5,1.0
SEG304045,5,5,1.0
SEG290286,5,6,0.8333333333333334
SEG288596,5,5,1.0
SEG248774,5,5,1.0
SEG300763,5,6,0.8333333333333334
SEG235559,5,6,0.8333333333333334
SEG248782,5,6,0.8333333333333334
SEG253570,5,5,1.0
SEG289674,5,5,1.0
SEG289144,5,5,1.0
SEG280972,5,5,1.0
SEG305415,5,5,1.0
SEG248806,5,5,1.0
SEG292736,5,5,1.0
SEG253543,5,7,0.7142857142857143
SEG301194,5,5,1.0
SEG229074,5,5,1.0
SEG305342,5,5,1.0
SEG229137,5,5,1.0
SEG252513,5,5,1.0
SEG252694,5,5,1.0
SEG281472,5,5,1.0
SEG304142,5,5,1.0
SEG282438,5,5,1.0
SEG253644,5,6,0.8333333333333334
SEG282446,5,5,1.0
SEG288519,5,5,1.0
SEG306717,5,5,1.0
SEG254421,5,7,0.7142857142857143
SEG304937,5,5,1.0
SEG238468,5,6,0.8333333333333334
SEG284063,5,6,0.8333333333333334
SEG224809,5,8,0.625
SEG248745,5,5,1.0
SEG284779,5,5,1.0
SEG238378,5,5,1.0
SEG306836,5,5,1.0
SEG229712,5,5,1.0
SEG289272,5,5,1.0
SEG247884,5,5,1.0
SEG247876,5,6,0.8333333333333334
SEG284254,5,5,1.0
SEG227347,5,5,1.0
SEG284244,5,5,1.0
SEG282137,5,5,1.0
SEG253938,5,5,1.0
SEG305075,5,5,1.0
SEG247820,5,5,1.0
SEG225321,5,5,1.0
SEG293611,5,6,0.8333333333333334
SEG282164,5,5,1.0
SEG281198,5,5,1.0
SEG290086,5,7,0.7142857142857143
SEG282169,5,5,1.0
SEG247806,5,9,0.5555555555555556
SEG282181,5,5,1.0
SEG281732,5,5,1.0
SEG227339,5,5,1.0
SEG307017,5,5,1.0
SEG293425,5,5,1.0
SEG306591,5,6,0.8333333333333334
SEG253321,5,5,1.0
SEG227148,5,5,1.0
SEG299090,5,5,1.0
SEG289865,5,5,1.0
SEG293552,5,7,0.7142857142857143
SEG248318,5,5,1.0
SEG281922,5,5,1.0
SEG306984,5,5,1.0
