event_id,best_rank,n_segments,n_rows,scored_that_day,date,tier,source,hazard,max_score,mean_conf,min_snap_m
CLS-GDE-00485,1.0,20,60,28,2017-01-20,bronze,corridor_landslides,landslide,0.23100450740502254,0.483505,36.3
GLC-595,1.0,20,60,54,2008-06-20,bronze,coolr_glc,landslide,0.3247422680412371,0.4793116666666667,87.9
GLC-5533,1.0,20,60,57,2013-09-16,silver,coolr_glc,landslide,0.29411764705882354,0.8342433333333333,30.2
GLC-5476,1.0,20,60,109,2013-09-07,bronze,coolr_glc,landslide,0.3294117647058824,0.46532666666666667,27.9
GLC-4580,1.0,20,60,45,2012-10-01,bronze,coolr_glc,landslide,0.2978723404255319,0.481435,553.9
GLC-4556,1.0,20,60,92,2012-09-16,silver,coolr_glc,landslide,0.3382352941176471,0.8607883333333334,147.4
GLC-4394,1.0,20,60,56,2012-06-07,bronze,coolr_glc,landslide,0.3191964285714285,0.48202,169.9
GLC-3989,1.0,20,60,68,2011-09-26,bronze,coolr_glc,landslide,0.3294117647058824,0.43619833333333335,311.5
GLC-3805,1.0,7,21,57,2011-07-19,silver,coolr_glc,landslide,0.35106382978723405,0.5873666666666667,76.8
GLC-3794,1.0,20,60,55,2011-07-17,silver,coolr_glc,landslide,0.8666666666666667,0.7272283333333333,302.9
GLC-3621,1.0,20,60,54,2011-06-17,silver,coolr_glc,mudslide,0.3382352941176471,0.8106433333333333,66.2
GLC-260,1.0,20,60,66,2007-09-11,silver,coolr_glc,debris_flow,0.27438393042037695,0.7248416666666666,432.1
GLC-2572,1.0,20,60,25,2010-10-08,bronze,coolr_glc,landslide,0.23100450740502254,0.23576499999999997,16992.2
GLC-242,1.0,20,60,102,2007-09-07,bronze,coolr_glc,landslide,0.34965034965034963,0.48451500000000003,241.1
GLC-2345,1.0,20,60,69,2010-08-27,silver,coolr_glc,landslide,0.27438393042037695,0.8449066666666667,71.0
GLC-2325,1.0,20,60,119,2010-08-24,silver,coolr_glc,landslide,0.34965034965034963,0.8489333333333333,158.9
GLC-2261,1.0,20,60,55,2010-08-17,bronze,coolr_glc,landslide,0.8666666666666667,0.4142733333333333,242.3
