State,Region,District
Andaman and Nicobar Islands,South (UT),Nicobar
Andaman and Nicobar Islands,South (UT),North and Middle Andaman
Andaman and Nicobar Islands,South (UT),South Andaman
Andhra Pradesh,South,Alluri Sitharama Raju
Andhra Pradesh,South,Anakapalli
Andhra Pradesh,South,Ananthapuramu
Andhra Pradesh,South,Annamayya
Andhra Pradesh,South,Bapatla
Andhra Pradesh,South,Chittoor
Andhra Pradesh,South,Dr. B.R. Ambedkar Konaseema
Andhra Pradesh,South,East Godavari
Andhra Pradesh,South,Eluru
Andhra Pradesh,South,Guntur
Andhra Pradesh,South,Kakinada
Andhra Pradesh,South,Krishna
Andhra Pradesh,South,Kurnool
Andhra Pradesh,South,Markapuram
Andhra Pradesh,South,NTR
Andhra Pradesh,South,Nandyal
Andhra Pradesh,South,Nellore
Andhra Pradesh,South,Palnadu
Andhra Pradesh,South,Parvathipuram Manyam
Andhra Pradesh,South,Polavaram
Andhra Pradesh,South,Prakasam
Andhra Pradesh,South,Sri Sathya Sai
Andhra Pradesh,South,Srikakulam
Andhra Pradesh,South,Tirupati
Andhra Pradesh,South,Visakhapatnam
Andhra Pradesh,South,Vizianagaram
Andhra Pradesh,South,West Godavari
Andhra Pradesh,South,YSR Kadapa
Arunachal Pradesh,Northeast,Anjaw
Arunachal Pradesh,Northeast,Bichom
Arunachal Pradesh,Northeast,Changlang
Arunachal Pradesh,Northeast,East Kameng
Arunachal Pradesh,Northeast,East Siang
Arunachal Pradesh,Northeast,Kamle
Arunachal Pradesh,Northeast,Keyi Panyor
Arunachal Pradesh,Northeast,Kra Daadi
Arunachal Pradesh,Northeast,Kurung Kumey
Arunachal Pradesh,Northeast,Lepa Rada
Arunachal Pradesh,Northeast,Lohit
Arunachal Pradesh,Northeast,Longding
Arunachal Pradesh,Northeast,Lower Dibang Valley
Arunachal Pradesh,Northeast,Lower Siang
Arunachal Pradesh,Northeast,Lower Subansiri
Arunachal Pradesh,Northeast,Namsai
Arunachal Pradesh,Northeast,Pakke-Kessang
Arunachal Pradesh,Northeast,Papum Pare
Arunachal Pradesh,Northeast,Shi Yomi
Arunachal Pradesh,Northeast,Siang
Arunachal Pradesh,Northeast,Tawang
Arunachal Pradesh,Northeast,Tirap
Arunachal Pradesh,Northeast,Upper Dibang Valley
Arunachal Pradesh,Northeast,Upper Siang
Arunachal Pradesh,Northeast,Upper Subansiri
Arunachal Pradesh,Northeast,West Kameng
Arunachal Pradesh,Northeast,West Siang
Assam,Northeast,Bajali
Assam,Northeast,Baksa
Assam,Northeast,Barpeta
Assam,Northeast,Biswanath
